"","Model_ID","Model_name","time","main_type","sub_type","type","series","history","support"
"39","227","TVS-EC1280U-SAS-RP R2","2016/01/05","Enterprise","High-end","12-Bay","TVS-ECx80U-SAS R2 Series","","ㅴ누"
"40","226","TS-EC2480U R2","2016/01/05","Enterprise","Entry-level","24-Bay","TS-ECx80U R2 Series","","ㅴ누"
"41","225","TS-EC1680U R2","2016/01/05","Enterprise","Entry-level","16-Bay","TS-ECx80U R2 Series","","ㅴ누"
"42","224","TS-EC1280U R2","2016/01/05","Enterprise","Entry-level","12-Bay","TS-ECx80U R2 Series","","ㅴ누"
"43","223","TS-EC880U R2","2016/01/05","Enterprise","Entry-level","8-Bay","TS-ECx80U R2 Series","","ㅴ누"
"44","222","TBS-453A","2016/01/07","SMB","Mid-range","4-Bay","TBS-453A","","ㅴ누"
"45","220","EJ1600","2015/12/16","Expansion Units","Mid-range","16-Bay","EJ Series Expansion Units","","ㄳㅴ누"
"46","218","ES1640dc","2015/12/14","Enterprise","Mid-range","16-Bay","Enterprise ZFS NAS Series","","ㄳㅴ누"
"47","217","TS-228","2015/12/07","Home & SOHO","SOHO / Home (Entry-level)","2-Bay","TS-x28 Series","","ㅴ누"
"48","216","TS-128","2015/12/07","Home & SOHO","SOHO / Home (Entry-level)","1-Bay","TS-x28 Series","","ㅴ누"
"49","215","IS-453S","2015/12/03","SMB","Mid-range","4-Bay","IS-453S","","ㅴ누"
"50","214","TS-853A","2015/11/16","SMB","Mid-range","8-Bay","TS-x53A Series","","ㅴ누"
"51","213","TS-653A","2015/11/16","SMB","Mid-range","6-Bay","TS-x53A Series","","ㅴ누"
"52","212","TS-453A","2015/11/16","SMB","Mid-range","4-Bay","TS-x53A Series","","ㅴ누"
"53","211","TS-253A","2015/11/16","SMB","Mid-range","2-Bay","TS-x53A Series","","ㅴ누"
"54","210","TS-531P","2015/10/21","SMB","Entry-level","5-Bay","TS-531P","EOL","ㅴ누"
"55","209","TDS-16489U","2015/10/21","Enterprise","High-end","16-Bay","TDS-16489U","","ㅴ누"
"56","208","TAS-268","2015/09/08","Home & SOHO","Mobile NAS","2-Bay","TAS-x68 Series","EOL","ㅴ누"
"57","207","TAS-168","2015/09/08","Home & SOHO","Mobile NAS","1-Bay","TAS-x68 Series","EOL","ㅴ누"
"58","206","TS-1263U-RP","2015/09/16","SMB","Mid-range","12-Bay","TS-x63U Series","","ㅴ누"
"59","205","TS-1263U","2015/09/16","SMB","Mid-range","12-Bay","TS-x63U Series","","ㅴ누"
"60","204","TS-863U-RP","2015/09/16","SMB","Mid-range","8-Bay","TS-x63U Series","","ㅴ누"
"61","203","TS-863U","2015/09/16","SMB","Mid-range","8-Bay","TS-x63U Series","","ㅴ누"
"62","202","TS-463U-RP","2015/09/16","SMB","Mid-range","4-Bay","TS-x63U Series","","ㅴ누"
"63","201","TS-463U","2015/09/16","SMB","Mid-range","4-Bay","TS-x63U Series","","ㅴ누"
"64","200","TX-800P","2015/07/23","Expansion Units","Entry-level","8-Bay","TX Series Expansion Units","","ㄳㅴ누"
"65","199","TX-500P","2015/07/23","Expansion Units","Entry-level","5-Bay","TX Series Expansion Units","","ㄳㅴ누"
"66","198","TVS-871T","2015/08/19","SMB","Thunderbolt NAS","8-Bay","TVS-871T","","ㅴ누"
"67","197","HS-251+","2015/10/27","Home & SOHO","Work Group / SOHO / Home (High-end)","2-Bay","Silent NAS Series","","ㅴ누"
"68","196","TS-451+","2015/11/02","Home & SOHO","Work Group / SOHO / Home (High-end)","4-Bay","TS-x51+ Series","","ㅴ누"
"69","195","TS-251+","2015/11/02","Home & SOHO","Work Group / SOHO / Home (High-end)","2-Bay","TS-x51+ Series","","ㅴ누"
"70","194","TS-563","2015/05/14","SMB","Mid-range","5-Bay","TS-563","","ㅴ누"
"71","193","TS-431U","2015/04/21","SMB","Entry-level","4-Bay","TS-431U","","ㅴ누"
"72","192","TVS-471U","2015/04/09","SMB","High-end","4-Bay","TVS-x71U Series","EOL","ㅴ누"
"73","189","TS-453mini","2015/02/17","SMB","Mid-range","4-Bay","TS-453mini","EOL","ㅴ누"
"74","186","TS-251C","2015/01/16","Home & SOHO","Work Group / SOHO / Home (High-end)","2-Bay","TS-x51 Series","EOL","ㅴ누"
"75","184","TVS-EC1080+","2014/12/12","Enterprise","Entry-level","10-Bay","TVS-ECx80 Series","","ㅴ누"
"76","183","TVS-EC1080","2014/12/12","Enterprise","Entry-level","10-Bay","TVS-ECx80 Series","","ㅴ누"
"77","182","TVS-EC880","2014/12/12","Enterprise","Entry-level","8-Bay","TVS-ECx80 Series","","ㅴ누"
